water_body,easting,northing,year,status,cycle,classification_item
Abberd Bk - source to conf R Marden,401133,171559,2015,2,Moderate,Ecological
Abberd Bk - source to conf R Marden,401133,171559,2015,2,Good,Chemical
Avon (Brist) conf R Marden to conf Semington Bk,388246,162153,2015,2,Moderate,Ecological
Avon (Brist) conf R Marden to conf Semington Bk,388246,162153,2015,2,Good,Chemical
Avon (Brist) conf Tetbury Avon to conf R Marden,397647,182765,2015,2,Moderate,Ecological
Avon (Brist) conf Tetbury Avon to conf R Marden,397647,182765,2015,2,Good,Chemical
Banwell - source to conf R Banwell Estuary,337745,163122,2015,2,Moderate,Ecological
Banwell - source to conf R Banwell Estuary,337745,163122,2015,2,Good,Chemical
Biss (Bitham Bk to Bristol Avon),386107,157584,2015,2,Good,Chemical
Biss (Bitham Bk to Bristol Avon),386107,157584,2015,2,Moderate,Ecological
Biss Bk - source to conf unnamed trib,385521,151671,2015,2,Good,Chemical
Biss Bk - source to conf unnamed trib,385521,151671,2015,2,Moderate,Ecological
Bitham Bk - source to conf Biss Bk,386358,153877,2015,2,Good,Chemical
Bitham Bk - source to conf Biss Bk,386358,153877,2015,2,Moderate,Ecological
Blind Yeo - Yearling Ditch to mouth,341601,170020,2015,2,Good,Chemical
Blind Yeo - Yearling Ditch to mouth,341601,170020,2015,2,Moderate,Ecological
Boyd - source to conf R Avon (Brist),372298,176653,2015,2,Moderate,Ecological
Boyd - source to conf R Avon (Brist),372298,176653,2015,2,Good,Chemical
Bradley Bk - conf Stoke Bk to conf R Brist Frome,363801,180614,2015,2,Good,Chemical
Bradley Bk - conf Stoke Bk to conf R Brist Frome,363801,180614,2015,2,Poor,Ecological
Brinkworth Brook,401734,184072,2015,2,Good,Chemical
Brinkworth Brook,401734,184072,2015,2,Moderate,Ecological
Brislington Bk - source to conf R Avon (Brist),362145,171058,2015,2,Good,Chemical
Brislington Bk - source to conf R Avon (Brist),362145,171058,2015,2,Moderate,Ecological
Bristol Avon (By Bk to Netham Weir),371458,166047,2015,2,Good,Chemical
Bristol Avon (By Bk to Netham Weir),371458,166047,2015,2,Moderate,Ecological
Bristol Avon (Semington Bk to By Bk),387082,161466,2015,2,Moderate,Ecological
Bristol Avon (Semington Bk to By Bk),387082,161466,2015,2,Good,Chemical
Broadmead Bk - source to conf By Bk,378862,176470,2015,2,Moderate,Ecological
Broadmead Bk - source to conf By Bk,378862,176470,2015,2,Good,Chemical
Buckland Bk - source to conf Mells R,375858,151518,2015,2,Good,Chemical
Buckland Bk - source to conf Mells R,375858,151518,2015,2,Good,Ecological
Bulkington Drove w/c source to conf Semington Bk,394842,156897,2015,2,Poor,Ecological
Bulkington Drove w/c source to conf Semington Bk,394842,156897,2015,2,Good,Chemical
By Bk - conf Doncombe Bk to conf R Avon (Brist),383922,171841,2015,2,Good,Chemical
By Bk - conf Doncombe Bk to conf R Avon (Brist),383922,171841,2015,2,Moderate,Ecological
By Bk - source to conf Broadmead Bk,380730,179336,2015,2,Moderate,Ecological
By Bk - source to conf Broadmead Bk,380730,179336,2015,2,Good,Chemical
By Brook (Broadmead Bk to Doncombe Bk),384092,176670,2015,2,Moderate,Ecological
By Brook (Broadmead Bk to Doncombe Bk),384092,176670,2015,2,Good,Chemical
Bydemill Bk - source to conf RIver Avon (Brist),389018,169265,2015,2,Good,Chemical
Bydemill Bk - source to conf RIver Avon (Brist),389018,169265,2015,2,Moderate,Ecological
Cam Bk - source to conf Wellow Bk,367839,157795,2015,2,Moderate,Ecological
Cam Bk - source to conf Wellow Bk,367839,157795,2015,2,Good,Chemical
Chalfield Brook - source to conf Avon,386383,162916,2015,2,Good,Chemical
Chalfield Brook - source to conf Avon,386383,162916,2015,2,Moderate,Ecological
Charlton Str - source to conf Bristol Avon,394745,186594,2015,2,Good,Chemical
Charlton Str - source to conf Bristol Avon,394745,186594,2015,2,Moderate,Ecological
Chestle Pill,355491,185213,2015,2,Good,Chemical
Chestle Pill,355491,185213,2015,2,Moderate,Ecological
Chew - Chew Valley Lake to conf Winford Brook,355556,160479,2015,2,Moderate,Ecological
Chew - Chew Valley Lake to conf Winford Brook,355556,160479,2015,2,Good,Chemical
Chew - conf Winford Bk to conf R Avon (Brist),365569,167011,2015,2,Moderate,Ecological
Chew - conf Winford Bk to conf R Avon (Brist),365569,167011,2015,2,Good,Chemical
Chew - source to Chew Valley Lake,358328,155665,2015,2,Moderate,Ecological
Chew - source to Chew Valley Lake,358328,155665,2015,2,Good,Chemical
Clackers Bk - source to conf R Avon (Brist),391118,163800,2015,2,Poor,Ecological
Clackers Bk - source to conf R Avon (Brist),391118,163800,2015,2,Good,Chemical
Cowage Bk - conf unnamed trib to conf R Marden,399016,174026,2015,2,Good,Chemical
Cowage Bk - conf unnamed trib to conf R Marden,399016,174026,2015,2,Moderate,Ecological
Cowage Bk - source to conf unnamed trib,402312,176333,2015,2,Moderate,Ecological
Cowage Bk - source to conf unnamed trib,402312,176333,2015,2,Good,Chemical
Doncombe Bk - source to conf By Bk,381198,173851,2015,2,Poor,Ecological
Doncombe Bk - source to conf By Bk,381198,173851,2015,2,Good,Chemical
Doverte Brook,372432,197096,2015,2,Good,Chemical
Doverte Brook,372432,197096,2015,2,Moderate,Ecological
Folly Bk - source to conf R Frome (Brist),366642,178387,2015,2,Moderate,Ecological
Folly Bk - source to conf R Frome (Brist),366642,178387,2015,2,Good,Chemical
Forest Brook,394131,165841,2015,2,Good,Chemical
Forest Brook,394131,165841,2015,2,Good,Ecological
Frome (Brist) - Bradley Bk to conf Floating Hbr,361839,176158,2015,2,Moderate,Ecological
Frome (Brist) - Bradley Bk to conf Floating Hbr,361839,176158,2015,2,Good,Chemical
Frome (Brist) - conf Laddon Bk to conf Folly Bk,366123,180551,2015,2,Good,Chemical
Frome (Brist) - conf Laddon Bk to conf Folly Bk,366123,180551,2015,2,Moderate,Ecological
Frome (Brist) - source to conf Laddon Bk,372756,182340,2015,2,Moderate,Ecological
Frome (Brist) - source to conf Laddon Bk,372756,182340,2015,2,Good,Chemical
Frome (Maiden Bradley to Mells),378435,147245,2015,2,Moderate,Ecological
Frome (Maiden Bradley to Mells),378435,147245,2015,2,Good,Chemical
Frome - source to conf Maiden Bradley Bk,376324,142711,2015,2,Moderate,Ecological
Frome - source to conf Maiden Bradley Bk,376324,142711,2015,2,Good,Chemical
Gauze Bk - source to conf R Avon (Brist),389758,182974,2015,2,Good,Chemical
Gauze Bk - source to conf R Avon (Brist),389758,182974,2015,2,Moderate,Ecological
Hoppingstone Stream,402230,175420,2015,2,Good,Chemical
Hoppingstone Stream,402230,175420,2015,2,Moderate,Ecological
Hortham Brook,362768,183786,2015,2,Good,Chemical
Hortham Brook,362768,183786,2015,2,Poor,Ecological
Kenn Moor SSSI,345132,170025,2015,2,Moderate,Ecological
Kenn Moor SSSI,345132,170025,2015,2,Good,Chemical
Kenn - source to Kenn Moor SSSI,347131,168705,2015,2,Good,Ecological
Kenn - source to Kenn Moor SSSI,347131,168705,2015,2,Good,Chemical
Kilmersdon Str - source to conf Snails Bk,369278,152247,2015,2,Good,Chemical
Kilmersdon Str - source to conf Snails Bk,369278,152247,2015,2,Poor,Ecological
Laddon Bk - source to conf R Frome (Brist),369259,187432,2015,2,Poor,Ecological
Laddon Bk - source to conf R Frome (Brist),369259,187432,2015,2,Good,Chemical
Lam Bk - source to conf R Avon (Brist),374745,169208,2015,2,Good,Chemical
Lam Bk - source to conf R Avon (Brist),374745,169208,2015,2,Good,Ecological
Lambrok Str - source to conf R Biss,384505,155822,2015,2,Moderate,Ecological
Lambrok Str - source to conf R Biss,384505,155822,2015,2,Good,Chemical
Land Yeo - Jacklands Bridge to Yearling Ditch,344778,171625,2015,2,Moderate,Ecological
Land Yeo - Jacklands Bridge to Yearling Ditch,344778,171625,2015,2,Good,Chemical
Land Yeo - source to Jacklands Bridge,351024,169856,2015,2,Good,Chemical
Land Yeo - source to Jacklands Bridge,351024,169856,2015,2,Moderate,Ecological
Land Yeo - Yearling Ditch to mouth,340626,171079,2015,2,Poor,Ecological
Land Yeo - Yearling Ditch to mouth,340626,171079,2015,2,Good,Chemical
Little Avon - conf Tortworth Bk to mouth,368367,197633,2015,2,Good,Chemical
Little Avon - conf Tortworth Bk to mouth,368367,197633,2015,2,Moderate,Ecological
Little Avon - Ozleworth Bk to conf Tortworth Bk,371021,194024,2015,2,Moderate,Ecological
Little Avon - Ozleworth Bk to conf Tortworth Bk,371021,194024,2015,2,Good,Chemical
Little Avon R - source to conf Ozleworth Bk,373168,188073,2015,2,Moderate,Ecological
Little Avon R - source to conf Ozleworth Bk,373168,188073,2015,2,Good,Chemical
Luckington Bk,381062,183585,2015,2,Moderate,Ecological
Luckington Bk,381062,183585,2015,2,Good,Chemical
Lyde Bk - source to conf Wellow Bk,376258,156797,2015,2,Good,Chemical
Lyde Bk - source to conf Wellow Bk,376258,156797,2015,2,Moderate,Ecological
Maiden Bradley Bk - source to conf R Frome,378536,142139,2015,2,Good,Chemical
Maiden Bradley Bk - source to conf R Frome,378536,142139,2015,2,Moderate,Ecological
Marden - conf Cowage Bk to conf R Avon (Brist),395633,172780,2015,2,Good,Chemical
Marden - conf Cowage Bk to conf R Avon (Brist),395633,172780,2015,2,Moderate,Ecological
Marden - source to conf Cowage Bk,400914,170070,2015,2,Good,Ecological
Marden - source to conf Cowage Bk,400914,170070,2015,2,Good,Chemical
Mells source to conf with Somerset Frome,370547,147544,2015,2,Moderate,Ecological
Mells source to conf with Somerset Frome,370547,147544,2015,2,Good,Chemical
MIlebourne Str - source to conf Semington Bk,393167,157659,2015,2,Good,Chemical
MIlebourne Str - source to conf Semington Bk,393167,157659,2015,2,Moderate,Ecological
Newton Bk - source to conf R Avon (Brist),371112,163452,2015,2,Moderate,Ecological
Newton Bk - source to conf R Avon (Brist),371112,163452,2015,2,Good,Chemical
Nunney Bk - source to conf Mells R,372557,144363,2015,2,Good,Chemical
Nunney Bk - source to conf Mells R,372557,144363,2015,2,Moderate,Ecological
Oldbridge R - source to nr Manor Fm,339527,164256,2015,2,Moderate,Ecological
Oldbridge R - source to nr Manor Fm,339527,164256,2015,2,Good,Chemical
Oldbury Naite Rhine,360791,192423,2015,2,Poor,Ecological
Oldbury Naite Rhine,360791,192423,2015,2,Good,Chemical
Ozleworth Bk - source to conf Little Avon R,377924,191478,2015,2,Good,Chemical
Ozleworth Bk - source to conf Little Avon R,377924,191478,2015,2,Good,Ecological
Paxcroft Brook,387681,158422,2015,2,Poor,Ecological
Paxcroft Brook,387681,158422,2015,2,Good,Chemical
Portbury Ditch - source to conf R Severn Estuary,347040,176284,2015,2,Good,Chemical
Portbury Ditch - source to conf R Severn Estuary,347040,176284,2015,2,Moderate,Ecological
Poulshot Str - source to conf Summerham Bk,398674,160246,2015,2,Fail,Chemical
Poulshot Str - source to conf Summerham Bk,398674,160246,2015,2,Moderate,Ecological
Pudding Bk - source to conf R Avon (Brist),391392,171819,2015,2,Good,Chemical
Pudding Bk - source to conf R Avon (Brist),391392,171819,2015,2,Good,Ecological
Rodbourne Bk - source to conf R Avon (Brist),393060,182562,2015,2,Good,Chemical
Rodbourne Bk - source to conf R Avon (Brist),393060,182562,2015,2,Moderate,Ecological
Rodden Bk - source to conf R Frome,381915,146917,2015,2,Moderate,Ecological
Rodden Bk - source to conf R Frome,381915,146917,2015,2,Good,Chemical
Semington Bk-Milebourne Str to conf R Avon (Brist),389111,161378,2015,2,Good,Chemical
Semington Bk-Milebourne Str to conf R Avon (Brist),389111,161378,2015,2,Moderate,Ecological
Semington Bk - source to conf Worton Str,399649,155161,2015,2,Good,Chemical
Semington Bk - source to conf Worton Str,399649,155161,2015,2,Moderate,Ecological
Semington Brook (Worton Str to Milebourne Str,395099,157598,2015,2,Moderate,Ecological
Semington Brook (Worton Str to Milebourne Str,395099,157598,2015,2,Good,Chemical
Sherston Avon,384017,184610,2015,2,Good,Chemical
Sherston Avon,384017,184610,2015,2,Good,Ecological
Shire Bourne,388125,190472,2015,2,Moderate,Ecological
Shire Bourne,388125,190472,2015,2,Good,Chemical
Siston Bk - source to conf R Avon (Brist),366840,172692,2015,2,Moderate,Ecological
